"ID tài sản video","ID video chung","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Nhãn tùy chỉnh","Bình luận về dữ liệu",Ngày,"Số người tiếp cận","Lượt xem video trong tối thiểu 3 giây","Số Giây xem","Số Giây xem trung bình","Cảm xúc, bình luận và lượt chia sẻ","Cảm xúc","Bình luận","Lượt chia sẻ","Lượt xem video trong tối thiểu 1 phút","Số người xem trong tối thiểu 3 giây","Số người xem trong tối thiểu 1 phút"
1309229757855084,,198980770851754,"Chim Cút",,899,"07/06/2026 07:30",,,"Trọn đời",2285,739,21583.107,9.695,54,42,0,12,53,703,48
1695603038426881,,198980770851754,"Chim Cút",,394,"07/07/2026 06:00",,,"Trọn đời",2030,644,10929.214,5.807,31,26,1,4,22,619,21
1735397920788828,,198980770851754,"Chim Cút",,673,"07/07/2026 07:30",,,"Trọn đời",1648,539,15726.638,9.583,40,34,0,6,40,516,38
1433900918495092,,198980770851754,"Chim Cút",,459,"07/08/2026 06:00",,,"Trọn đời",2003,729,16571.604,8.187,37,32,0,5,33,719,32
1004677745257252,,198980770851754,"Chim Cút",,642,"07/08/2026 07:30",,,"Trọn đời",2344,822,22696.292,9.516,49,42,0,7,42,753,41
1010289958113019,,198980770851754,"Chim Cút",,320,"07/09/2026 06:00",,,"Trọn đời",1857,458,13442.107,7.761,39,30,1,8,53,446,54
996435146264812,,198980770851754,"Chim Cút",,378,"07/09/2026 07:30",,,"Trọn đời",2276,845,20113.512,8.537,41,38,1,2,50,798,49
926978633687620,,198980770851754,"Chim Cút",,249,"07/10/2026 06:00",,,"Trọn đời",3583,1324,27106.233,7.376,89,72,2,15,63,1280,61
1331068938358336,,198980770851754,"Chim Cút",,397,"07/10/2026 07:30",,,"Trọn đời",333,87,1294.935,4.868,8,7,0,1,,,
2221577595308956,,198980770851754,"Chim Cút",,644,"07/06/2026 06:00",,,"Trọn đời",1791,557,13548.211,8.186,24,21,0,3,37,540,37
