run_id,verdict,recall_pct,pass,fail,skip,duration_s,report_hash_unchanged,task_state_fresh
run-01,FAIL,92.9,26,2,1,3.32,True,True
run-02,FAIL,92.9,26,2,1,3.085,True,True
run-03,FAIL,92.9,26,2,1,3.02,True,True
run-04,FAIL,92.9,26,2,1,2.861,True,True
run-05,FAIL,92.9,26,2,1,2.894,True,True
run-06,FAIL,92.9,26,2,1,2.928,True,True
run-07,FAIL,92.9,26,2,1,3.171,True,True
run-08,FAIL,92.9,26,2,1,3.557,True,True
run-09,FAIL,92.9,26,2,1,3.198,True,True
run-10,FAIL,92.9,26,2,1,3.366,True,True
