effective_date,rate_type,rate_pct,decision_number,decision_date,source,notes
2008-12-01,refinancing,14.0,1832/QĐ-NHNN(?),2008-12,AMRO ACR 2018,Đỉnh GFC — QĐ cần verify
2008-12-01,discount,13.0,1832/QĐ-NHNN(?),2008-12,AMRO ACR 2018,
2009-04-01,refinancing,9.0,(verify),2009-04,AMRO ACR 2018,Cắt GFC
2009-04-01,discount,7.0,(verify),2009-04,AMRO ACR 2018,
2010-02-01,refinancing,10.0,(verify),2010-02,AMRO ACR 2018,Thắt lại
2010-12-01,refinancing,11.0,(verify),2010-12,AMRO ACR 2018,
2011-09-01,refinancing,15.0,(verify),2011-09,AMRO ACR + IMF Art.IV,Đỉnh lạm phát 23%
2011-09-01,discount,13.0,(verify),2011-09,AMRO ACR + IMF Art.IV,
2012-12-01,refinancing,9.0,(verify),2012-12,AMRO ACR 2018,Cắt nhanh
2013-09-01,refinancing,7.0,(verify),2013-09,AMRO ACR 2018,
2014-11-01,refinancing,6.5,(verify),2014-11,AMRO ACR 2018,
2014-11-01,discount,4.5,(verify),2014-11,AMRO ACR 2018,
2016-01-01,refinancing,6.5,(duy trì),2016-2019,AMRO ACR,Ổn định 4 năm
2016-01-01,discount,4.5,(duy trì),2016-2019,AMRO ACR,
2019-09-01,refinancing,6.0,211/QĐ-NHNN(?),2019-09,AMRO (QĐ verify pending),Cắt nhẹ
2020-03-17,refinancing,5.0,418/QĐ-NHNN,2020-03-16,Thuvienphapluat (verified),COVID cut 1 — hiệu lực 17/03
2020-03-17,discount,3.5,418/QĐ-NHNN,2020-03-16,Thuvienphapluat (verified),Discount 4.0→3.5%
2020-05-13,refinancing,4.5,918/QĐ-NHNN,2020-05-12,LuatVietnam (verified),COVID cut 2 — hiệu lực 13/05
2020-05-13,discount,3.0,918/QĐ-NHNN,2020-05-12,LuatVietnam (verified),Discount 3.5→3.0%
2020-10-01,refinancing,4.0,1728/QĐ-NHNN,2020-09-30,Thuvienphapluat (verified),COVID cut 3 — hiệu lực 01/10 [SỬA: 1728 không phải 1123]
2020-10-01,discount,2.5,1728/QĐ-NHNN,2020-09-30,Thuvienphapluat (verified),Discount 3.0→2.5%
2022-09-23,refinancing,5.0,1606/QĐ-NHNN,2022-09-22,LuatVietnam + baochinhphu (verified),Thắt 1 — 4.0→5.0% [SỬA: 1606 không phải 1524]
2022-09-23,discount,3.5,1606/QĐ-NHNN,2022-09-22,LuatVietnam (verified),Discount 2.5→3.5%
2022-10-01,refinancing,6.0,1809/QĐ-NHNN,2022-10,AMRO (verify pending exact date),Thắt 2 — 5.0→6.0% đỉnh thắt
2023-03-15,discount,3.5,313/QĐ-NHNN,2023-03-14,AMRO (verify pending),"Discount 4.5→3.5%, refinancing giữ 6.0%"
2023-04-03,refinancing,5.5,574/QĐ-NHNN,2023-04-03,AMRO (verify pending),Refinancing 6.0→5.5%
2023-05-23,refinancing,5.0,950/QĐ-NHNN,2023-05-23,AMRO (verify pending),Refinancing 5.5→5.0%
2023-06-19,refinancing,4.5,1123/QĐ-NHNN,2023-06-16,sbv.gov.vn + Thuvienphapluat + baochinhphu (verified),Refinancing 5.0→4.5% — hiệu lực 19/06/2023 [SỬA: 1123 không phải 1124]
2023-06-19,discount,3.0,1123/QĐ-NHNN,2023-06-16,sbv.gov.vn (verified),Discount 3.5→3.0%
2024-01-01,refinancing,4.5,(duy trì QĐ 1123/2023),2024-2026,sbv.gov.vn/lãi-suất1,Hiện tại — chưa đổi từ 06/2023
2024-01-01,discount,3.0,(duy trì QĐ 1123/2023),2024-2026,sbv.gov.vn/lãi-suất1,Hiện tại
