year,nominal,real,cpi,nominal_m,real_m
2009,25254066.0,25254066.0,92.0,25.3,25.3
2010,29458590.0,26984069.0,100.0,29.5,27.0
2011,40691168.0,31401104.0,119.0,40.7,31.4
2012,44218579.0,31277389.0,130.0,44.2,31.3
2013,39503430.0,26221117.0,138.0,39.5,26.2
2014,35964881.0,22941386.0,144.0,36.0,22.9
2015,34400890.0,21791989.0,145.0,34.4,21.8
2016,34931413.0,21561438.0,148.0,34.9,21.6
2017,36627650.0,21843052.0,154.0,36.6,21.8
2018,36751626.0,21159327.0,159.0,36.8,21.2
2019,39584672.0,22177101.0,164.0,39.6,22.2
2020,51622643.0,28013235.0,169.0,51.6,28.0
2021,57450932.0,30613760.0,172.0,57.5,30.6
2022,67146481.0,34690455.0,177.0,67.1,34.7
2023,68755556.0,34396553.0,183.0,68.8,34.4
2024,81910418.0,39551894.0,190.0,81.9,39.6
2025,122608081.0,57300511.0,196.0,122.6,57.3
2026,167225333.0,76974073.0,199.0,167.2,77.0
