group,card,week,value,name_vi
group1_money_market,interbank_on,2026-W23,6.81,LNH Overnight (VND)
group1_money_market,interbank_on,2026-W24,5.58,LNH Overnight (VND)
group1_money_market,interbank_on,2026-W25,3.9,LNH Overnight (VND)
group1_money_market,interbank_on,2026-W26,4.26,LNH Overnight (VND)
group1_money_market,interbank_1w,2026-W23,6.59,LNH 1 tuần (VND)
group1_money_market,interbank_1w,2026-W24,5.68,LNH 1 tuần (VND)
group1_money_market,interbank_1w,2026-W25,5.14,LNH 1 tuần (VND)
group1_money_market,interbank_1w,2026-W26,7.34,LNH 1 tuần (VND)
group1_money_market,interbank_1m,2026-W23,7.01,LNH 1 tháng (VND)
group1_money_market,interbank_1m,2026-W24,7.37,LNH 1 tháng (VND)
group1_money_market,interbank_1m,2026-W25,7.93,LNH 1 tháng (VND)
group1_money_market,interbank_1m,2026-W26,7.32,LNH 1 tháng (VND)
group2_bonds,gov_2y_yield,2026-W23,3.42,LSTP 2 năm
group2_bonds,gov_2y_yield,2026-W24,3.45,LSTP 2 năm
group2_bonds,gov_2y_yield,2026-W25,3.46,LSTP 2 năm
group2_bonds,gov_2y_yield,2026-W26,3.48,LSTP 2 năm
group2_bonds,gov_5y_yield,2026-W23,4.13,LSTP 5 năm
group2_bonds,gov_5y_yield,2026-W24,4.14,LSTP 5 năm
group2_bonds,gov_5y_yield,2026-W25,4.17,LSTP 5 năm
group2_bonds,gov_5y_yield,2026-W26,4.19,LSTP 5 năm
group2_bonds,gov_10y_yield,2026-W23,4.33,LSTP 10 năm
group2_bonds,gov_10y_yield,2026-W24,4.34,LSTP 10 năm
group2_bonds,gov_10y_yield,2026-W25,4.37,LSTP 10 năm
group2_bonds,gov_10y_yield,2026-W26,4.4,LSTP 10 năm
group3_fx_global,fx_tm_mid,2026-W23,26264.0,Tỷ giá TM USD/VND (mid)
group3_fx_global,fx_tm_mid,2026-W24,26267.0,Tỷ giá TM USD/VND (mid)
group3_fx_global,fx_tm_mid,2026-W25,26280.0,Tỷ giá TM USD/VND (mid)
group3_fx_global,fx_tm_mid,2026-W26,26284.0,Tỷ giá TM USD/VND (mid)
group3_fx_global,us_10y,2026-W26,4.37,US 10Y yield
group3_fx_global,dxy,2026-W26,101.357,DXY (chỉ số USD)
